Parameter,Mean_Benign,Std_Benign,Mean_DCIS,Std_DCIS,Mean_IDC,Std_IDC,Mean_Both,Std_Both
Area1445_mean,0.0259406469388189,0.0155202107864658,0.0439947649892245,0.0154729615326579,0.0517979496851123,0.00719137633726516,0.0472876031805273,0.0144764036879171
Area1445_std,0.0163140384892263,0.00627367967068585,0.011616250917891,0.00743805527258499,0.00817623131195063,0.00601487204208556,0.0107506678674709,0.00736191800460769
Intensity1445_mean,0.000883620914281792,0.000507045852951701,0.00150061092399717,0.000535241321642061,0.00176997800733678,0.000270632940015294,0.00163721310824834,0.000527348397905743
Intensity1445_std,0.000553243545658237,0.000201990150636745,0.000398991131055409,0.000244203093696137,0.000299485380775791,0.00020203009902543,0.000377845837944659,0.00023712943584097
Area1650_mean,0.00368055444684702,0.00618742513961354,0.00348244833981913,0.00319942841390718,0.00348958558103974,0.00180629083686614,0.00490071097964066,0.00785820844205806
Area1650_std,0.00738844088092128,0.0261141010186805,0.00552534697701369,0.0127476415568093,0.00325785890926858,0.00147071744439282,0.00667187841016055,0.0403559869020594
Intensity1650_mean,0.000929050412225011,0.00777390338143796,0.0011732954397199,0.00806349982160895,0.000272157626897144,0.000116106026960746,0.000363496373512426,0.000270061099529735
Intensity1650_std,0.00474592322055248,0.0442735643817024,0.00472966025490488,0.0395673986711377,0.000205496547063117,7.26952054812146e-05,0.000324433688482855,0.00104416529720262
RatioI_phe_hap_mean,2.61618922685244,22.0189180086672,1.38028944148813,5.34028333136704,0.67920369897458,0.167559961023038,0.78661575249101,0.596788662285515
RatioI_phe_hap_std,23.0784009819505,233.231075485862,5.64797041170526,36.5400765424762,0.243170739655481,0.0738773691831764,0.600554966069709,2.30590498159939
RatioI_CO32_phe_mean,0.378599706674358,4.30552142440129,0.192398187862866,0.180299539665443,0.175433427092048,0.139844627785678,0.254684552222075,0.267675528305026
RatioI_CO32_phe_std,2.79510411199929,43.3215316734541,0.22210102332978,0.169356216774288,0.165423217519257,0.11127128319049,0.246785728110329,0.223732004800593
InverseFWHM960hand_mean,0.0482503090307591,0.00982177531223278,0.0583520279421761,0.00583280952119424,0.0680332844525118,0.00676601759403657,0.0604503789450971,0.00613471454177541
InverseFWHM960hand_std,0.00443366388680452,0.00200943498604407,0.00350320938684944,0.00142096773283131,0.00283275563200995,0.0010170111639111,0.00292861170902989,0.00140787485266064
Peakposition960_mean,958.057226007435,2.68761457584075,958.881351311291,0.727203968905919,959.096770799077,1.16131662873094,959.150593126273,1.55646403935583
Shift960_mean,-1.94277399256448,2.68761457584076,-1.1186486887088,0.727203968905935,-0.903229200922634,1.16131662873097,-0.849406873727326,1.55646403935584
Shift960_std,1.70063977444073,3.01437735190315,0.654879081008902,1.67930962310853,0.274252473399262,0.104974426518961,0.453201220850793,0.355815883916433
Peakposition1070_mean,1068.60889789639,2.97785758583702,1065.63226809057,1.63312619964791,1063.11590341598,2.15415669263142,1066.25034828995,2.87440388270031
Shift1070_mean,-1.39110210361263,2.97785758583702,-4.36773190943165,1.63312619964793,-6.88409658401603,2.15415669263143,-3.74965171005194,2.87440388270033
Shift1070_std,2.3692787597939,1.57591828244856,1.86411702376459,0.860772762142503,1.13169508063143,0.526695318791212,1.51741914352637,0.977719651532264
