Parameter,Mean_Benign,Std_Benign,Mean_Malignant,Std_Malignant
area_p,79.0782608695652,124.986685550559,50.1859649122807,64.2158865391801
area_um,154.993391304348,244.973903679096,98.3644912280702,125.863137616793
circularity,0.695005853687124,0.199367761662745,0.688697385088646,0.198169655548386
perimeters,29.7556452173913,27.5430514697925,24.9250701754386,20.7087077118214
FD,0.100353817533471,0.0777761200018533,0.0989931217353689,0.0675229235296935
var_cen,0.341691255046149,0.14733051225772,0.366675074170868,0.150803231001239
maxmin_cen,6.06365429502808,12.3880594417237,5.77898228362577,5.82987852333726
FWHM960hand_mean,21.9846785582051,5.25382496639841,16.780981932489,2.55463120494367
FWHM960hand_std,2.25006433635289,1.33259518683796,0.939229221395103,0.689526796265624
Area960_mean,0.0671306894071072,0.034897459402496,0.0841652333649173,0.0354041974740343
Area960_std,0.0135228311663214,0.0116472940059322,0.0158925270859958,0.0109822688516539
Intensity960_mean,0.00359775905190955,0.00203119786508097,0.00480233519286732,0.00220284407469357
Intensity960_std,0.000760817944511757,0.00075424663484381,0.000992627881202524,0.000708465513689917
Area1070_mean,0.0025970994510986,0.00286474640092974,0.0042954932975536,0.00415450646971916
Area1070_std,0.00374749557741558,0.0058517073629839,0.00330876832826759,0.0021122325787361
Intensity1070_mean,0.000620280965708893,0.00606636316056226,0.000529144636194601,0.000458090052688106
Intensity1070_std,0.00332280091652798,0.0506787168817262,0.000394347728587772,0.000220763673837699
RatioA_carb_phos_mean,0.0800563288271266,0.663662240595473,0.0411219641627128,0.0290536890481155
RatioA_carb_phos_std,0.283178261587259,4.0884785873287,0.0334463615765644,0.0204052920117968
RatioI_carb_phos_mean,0.38558149157715,6.39262539340156,0.0935988121321694,0.0637368542101417
RatioI_carb_phos_std,2.63494499257309,48.7217667710812,0.0761866403173853,0.0487600560057321
Area1004_mean,0.0623955547686436,1.07018046624276,0.0202192964683483,0.0268438408291501
Area1004_std,0.701520505442905,14.0537443016528,0.0249538143720566,0.249395970653891
Intensity1004_mean,0.0111485283635631,0.0772186133065007,0.00377222847190045,0.0137853265456571
Intensity1004_std,0.107287227147188,0.823559631077092,0.0109479531897515,0.0972349452941931
Area1445_mean,0.0259406469388189,0.0155202107864658,0.0468971021894339,0.0142733537760016
Area1445_std,0.0163140384892263,0.00627367967068585,0.0106925087609833,0.00728494738352091
Intensity1445_mean,0.000883620914281792,0.000507045852951701,0.00161472071917492,0.000511947601100063
Intensity1445_std,0.000553243545658237,0.000201990150636745,0.0003746338487137,0.000236347625435146
Area1650_mean,0.00368055444684702,0.00618742513961354,0.00434418506139599,0.00640764176518189
Area1650_std,0.00738844088092128,0.0261141010186805,0.00595876042157095,0.032131339464234
Intensity1650_mean,0.000929050412225011,0.00777390338143796,0.000577390926467114,0.00424744357431061
Intensity1650_std,0.00474592322055248,0.0442735643817024,0.0015317599098179,0.0208466042810857
RatioI_phe_hap_mean,2.61618922685244,22.0189180086672,0.938740747805852,2.85089491456708
RatioI_phe_hap_std,23.0784009819505,233.231075485862,1.95828177566107,19.3694646043513
RatioI_CO32_phe_mean,0.378599706674358,4.30552142440129,0.228242763051308,0.235866311006987
RatioI_CO32_phe_std,2.79510411199929,43.3215316734541,0.230522378892193,0.20065215598948
InverseFWHM960hand_mean,0.0482503090307591,0.00982177531223278,0.0607467514100582,0.00671662714621081
InverseFWHM960hand_std,0.00443366388680452,0.00200943498604407,0.00307678702834949,0.00139370242305144
Peakposition960_mean,958.057226007435,2.68761457584075,959.069729125638,1.33354340834354
Shift960_mean,-1.94277399256448,2.68761457584076,-0.930270874362349,1.33354340834355
Shift960_std,1.70063977444073,3.01437735190315,0.48838452711953,0.930720189949016
Peakposition1070_mean,1068.60889789639,2.97785758583702,1065.69355931135,2.69632974490233
Shift1070_mean,-1.39110210361263,2.97785758583702,-4.30644068865477,2.69632974490235
Shift1070_std,2.3692787597939,1.57591828244856,1.5638911831522,0.926193600943826
